"id_odsp","link_odsp","adv_stats","date","league","season","country","ht","at","fthg","ftag","odd_h","odd_d","odd_a","odd_over","odd_under","odd_bts","odd_bts_n"
"GKExpU0l/","/soccer/england/premier-league-2012-2013/newcastle-utd-aston-villa-GKExpU0l/",FALSE,2012-09-02,"E0","2013","england","Newcastle","Aston Villa",1,1,1.69,4,6.2,NA,NA,NA,NA
"ljdP8AkE/","/soccer/italy/serie-a-2012-2013/udinese-juventus-ljdP8AkE/",TRUE,2012-09-02,"I1","2013","italy","Udinese","Juventus",1,4,5.6,3.61,1.84,NA,NA,NA,NA
"MsNXeA1b/","/soccer/spain/primera-division-2012-2013/rayo-vallecano-sevilla-MsNXeA1b/",TRUE,2012-09-02,"SP1","2013","spain","Rayo Vallecano","Sevilla",0,0,3.15,3.65,2.44,NA,NA,NA,NA
"nNZggVkR/","/soccer/italy/serie-a-2012-2013/catania-genoa-nNZggVkR/",TRUE,2012-09-02,"I1","2013","italy","Catania","Genoa",3,2,1.85,3.7,5.32,NA,NA,NA,NA
"p8pSyzoj/","/soccer/france/ligue-1-2012-2013/marseille-rennes-p8pSyzoj/",TRUE,2012-09-02,"F1","2013","france","Marseille","Stade Rennes",3,1,2.06,3.6,4.55,NA,NA,NA,NA
"pfJtqlGf/","/soccer/england/premier-league-2012-2013/southampton-manchester-united-pfJtqlGf/",FALSE,2012-09-02,"E0","2013","england","Southampton","Manchester Utd",2,3,7.4,4.7,1.53,NA,NA,NA,NA
"rgLPm9Dl/","/soccer/italy/serie-a-2012-2013/lazio-palermo-rgLPm9Dl/",TRUE,2012-09-02,"I1","2013","italy","Lazio","Palermo",3,0,1.57,4.34,7.8,NA,NA,NA,NA
"Uy6VdSfi/","/soccer/germany/bundesliga-2012-2013/bayern-munich-vfb-stuttgart-Uy6VdSfi/",TRUE,2012-09-02,"D1","2013","germany","Bayern Munich","VfB Stuttgart",6,1,1.28,6.8,14,NA,NA,NA,NA
"vLEYomr1/","/soccer/italy/serie-a-2012-2013/parma-chievo-vLEYomr1/",TRUE,2012-09-02,"I1","2013","italy","Parma","Chievo Verona",2,0,2.25,3.31,4.05,NA,NA,NA,NA
"Wnw6kjwR/","/soccer/england/premier-league-2012-2013/liverpool-arsenal-Wnw6kjwR/",FALSE,2012-09-02,"E0","2013","england","Liverpool","Arsenal",0,2,1.92,3.85,4.5,NA,NA,NA,NA
"xMNDdMzC/","/soccer/spain/primera-division-2012-2013/levante-espanyol-xMNDdMzC/",TRUE,2012-09-02,"SP1","2013","spain","Levante","Espanyol",3,2,2.42,3.4,3.5,NA,NA,NA,NA
"YsExo7c7/","/soccer/italy/serie-a-2012-2013/sampdoria-siena-YsExo7c7/",TRUE,2012-09-02,"I1","2013","italy","Sampdoria","Siena",2,1,1.96,3.45,5.09,NA,NA,NA,NA
"zmWkfBzL/","/soccer/italy/serie-a-2012-2013/cagliari-atalanta-zmWkfBzL/",TRUE,2012-09-02,"I1","2013","italy","Cagliari","Atalanta",1,1,2.8,3.14,3.05,NA,NA,NA,NA
"zRKLbCHu/","/soccer/spain/primera-division-2012-2013/barcelona-valencia-zRKLbCHu/",TRUE,2012-09-02,"SP1","2013","spain","Barcelona","Valencia",1,0,1.26,7.26,13.82,NA,NA,NA,NA
"ALWiBzx9/","/soccer/france/ligue-1-2012-2013/reims-montpellier-ALWiBzx9/",TRUE,2012-09-14,"F1","2013","france","Stade de Reims","Montpellier",3,1,4.03,3.25,2.25,NA,NA,NA,NA
"boTmCGM2/","/soccer/france/ligue-1-2012-2013/paris-sg-toulouse-boTmCGM2/",TRUE,2012-09-14,"F1","2013","france","Paris Saint-Germain","Toulouse",2,0,1.51,4.5,9.19,NA,NA,NA,NA
"CvQX4sgS/","/soccer/germany/bundesliga-2012-2013/augsburg-wolfsburg-CvQX4sgS/",TRUE,2012-09-14,"D1","2013","germany","FC Augsburg","VfL Wolfsburg",0,0,2.6,3.73,2.98,NA,NA,NA,NA
"4rAQfFiS/","/soccer/france/ligue-1-2012-2013/st-etienne-sochaux-4rAQfFiS/",TRUE,2012-09-15,"F1","2013","france","St Etienne","Sochaux",0,1,1.51,4.59,8.26,NA,NA,NA,NA
"4WHa011q/","/soccer/germany/bundesliga-2012-2013/greuther-furth-schalke-4WHa011q/",TRUE,2012-09-15,"D1","2013","germany","SpVgg Greuther Furth","Schalke 04",0,2,4.45,3.7,2,NA,NA,NA,NA
"6ko31Ssl/","/soccer/italy/serie-a-2012-2013/ac-milan-atalanta-6ko31Ssl/",TRUE,2012-09-15,"I1","2013","italy","AC Milan","Atalanta",0,1,1.53,4.4,8.5,NA,NA,NA,NA
"6TVWg5UC/","/soccer/england/premier-league-2012-2013/stoke-city-manchester-city-6TVWg5UC/",FALSE,2012-09-15,"E0","2013","england","Stoke City","Manchester City",1,1,6.1,3.9,1.76,NA,NA,NA,NA
"6yzD95vc/","/soccer/germany/bundesliga-2012-2013/bayern-munich-mainz-6yzD95vc/",TRUE,2012-09-15,"D1","2013","germany","Bayern Munich","Mainz",3,1,1.27,7.3,18,NA,NA,NA,NA
"APngjZaq/","/soccer/france/ligue-1-2012-2013/troyes-lille-APngjZaq/",TRUE,2012-09-15,"F1","2013","france","Troyes","Lille",1,1,5.05,3.63,1.9,NA,NA,NA,NA
"Awbu4khK/","/soccer/england/premier-league-2012-2013/arsenal-southampton-Awbu4khK/",FALSE,2012-09-15,"E0","2013","england","Arsenal","Southampton",6,1,1.38,5.6,10.62,NA,NA,NA,NA
"dbK4b3Nd/","/soccer/spain/primera-division-2012-2013/valencia-celta-vigo-dbK4b3Nd/",TRUE,2012-09-15,"SP1","2013","spain","Valencia","Celta Vigo",2,1,1.68,4.09,6.4,NA,NA,NA,NA
"EFlBa6C0/","/soccer/italy/serie-a-2012-2013/palermo-cagliari-EFlBa6C0/",TRUE,2012-09-15,"I1","2013","italy","Palermo","Cagliari",1,1,2.52,3.32,3.4,NA,NA,NA,NA
"Ikj1lDUe/","/soccer/france/ligue-1-2012-2013/nice-brest-Ikj1lDUe/",TRUE,2012-09-15,"F1","2013","france","Nice","Brest",4,2,2.02,3.25,5,NA,NA,NA,NA
"jPyP63OF/","/soccer/germany/bundesliga-2012-2013/hannover-werder-bremen-jPyP63OF/",TRUE,2012-09-15,"D1","2013","germany","Hannover 96","Werder Bremen",3,2,2.25,3.75,3.35,NA,NA,NA,NA
"KCXOeRa0/","/soccer/england/premier-league-2012-2013/qpr-chelsea-KCXOeRa0/",FALSE,2012-09-15,"E0","2013","england","QPR","Chelsea",0,0,4.7,3.69,1.96,NA,NA,NA,NA
"ldwEytGq/","/soccer/spain/primera-division-2012-2013/malaga-levante-ldwEytGq/",TRUE,2012-09-15,"SP1","2013","spain","Malaga","Levante",3,1,1.66,4.09,6.7,NA,NA,NA,NA
"lGockgFk/","/soccer/france/ligue-1-2012-2013/evian-tg-bastia-lGockgFk/",TRUE,2012-09-15,"F1","2013","france","Evian Thonon Gaillard","Bastia",3,0,2.54,3.42,3.2,NA,NA,NA,NA
"OpvGcmVm/","/soccer/england/premier-league-2012-2013/manchester-united-wigan-OpvGcmVm/",FALSE,2012-09-15,"E0","2013","england","Manchester Utd","Wigan",4,0,1.33,6,12,NA,NA,NA,NA
"pKUzgPqJ/","/soccer/england/premier-league-2012-2013/sunderland-liverpool-pKUzgPqJ/",FALSE,2012-09-15,"E0","2013","england","Sunderland","Liverpool",1,1,3.8,3.7,2.18,NA,NA,NA,NA
"pSYG8Pg3/","/soccer/germany/bundesliga-2012-2013/b-monchengladbach-nurnberg-pSYG8Pg3/",TRUE,2012-09-15,"D1","2013","germany","Borussia Monchengladbach","Nurnberg",2,3,1.95,3.6,4.7,NA,NA,NA,NA
"rZUa9E6L/","/soccer/france/ligue-1-2012-2013/valenciennes-bordeaux-rZUa9E6L/",TRUE,2012-09-15,"F1","2013","france","Valenciennes","Bordeaux",0,0,3,3.2,2.8,NA,NA,NA,NA
"UJjUpM1d/","/soccer/germany/bundesliga-2012-2013/dortmund-bayer-leverkusen-UJjUpM1d/",TRUE,2012-09-15,"D1","2013","germany","Borussia Dortmund","Bayer Leverkusen",3,0,1.56,4.8,7.3,NA,NA,NA,NA
"UNvCbTFs/","/soccer/england/premier-league-2012-2013/fulham-west-brom-UNvCbTFs/",FALSE,2012-09-15,"E0","2013","england","Fulham","West Brom",3,0,2.25,3.5,3.75,NA,NA,NA,NA
"vkYK7q99/","/soccer/germany/bundesliga-2012-2013/vfb-stuttgart-dusseldorf-vkYK7q99/",TRUE,2012-09-15,"D1","2013","germany","VfB Stuttgart","Fortuna Dusseldorf",0,0,1.75,4,5.53,NA,NA,NA,NA
"W0G4lYT6/","/soccer/england/premier-league-2012-2013/aston-villa-swansea-W0G4lYT6/",FALSE,2012-09-15,"E0","2013","england","Aston Villa","Swansea",2,0,2.38,3.45,3.36,NA,NA,NA,NA
"WGCHe17F/","/soccer/spain/primera-division-2012-2013/sevilla-real-madrid-WGCHe17F/",TRUE,2012-09-15,"SP1","2013","spain","Sevilla","Real Madrid",1,0,5.6,4.7,1.73,NA,NA,NA,NA
"xlrKd7pf/","/soccer/england/premier-league-2012-2013/norwich-west-ham-xlrKd7pf/",FALSE,2012-09-15,"E0","2013","england","Norwich City","West Ham",0,0,2.56,3.5,3.05,NA,NA,NA,NA
"zkJ8cNx3/","/soccer/spain/primera-division-2012-2013/getafe-barcelona-zkJ8cNx3/",TRUE,2012-09-15,"SP1","2013","spain","Getafe","Barcelona",1,4,8,5,1.52,NA,NA,NA,NA
"2yV5LmZJ/","/soccer/italy/serie-a-2012-2013/torino-inter-2yV5LmZJ/",TRUE,2012-09-16,"I1","2013","italy","Torino","Internazionale",0,2,3.05,3.36,2.74,NA,NA,NA,NA
"46CxeUG4/","/soccer/spain/primera-division-2012-2013/atl-madrid-rayo-vallecano-46CxeUG4/",TRUE,2012-09-16,"SP1","2013","spain","Atletico Madrid","Rayo Vallecano",4,3,1.33,6,12.04,NA,NA,NA,NA
"4rWeAfiF/","/soccer/france/ligue-1-2012-2013/rennes-lorient-4rWeAfiF/",TRUE,2012-09-16,"F1","2013","france","Stade Rennes","Lorient",1,2,1.98,3.45,5,NA,NA,NA,NA
"AsrKcpsD/","/soccer/italy/serie-a-2012-2013/as-roma-bologna-AsrKcpsD/",TRUE,2012-09-16,"I1","2013","italy","AS Roma","Bologna",2,3,1.4,5.5,10,NA,NA,NA,NA
"b3WSfoF6/","/soccer/england/premier-league-2012-2013/reading-tottenham-b3WSfoF6/",FALSE,2012-09-16,"E0","2013","england","Reading","Tottenham",1,3,3.85,3.65,2.2,NA,NA,NA,NA
"CWFpg8oH/","/soccer/spain/primera-division-2012-2013/espanyol-ath-bilbao-CWFpg8oH/",TRUE,2012-09-16,"SP1","2013","spain","Espanyol","Athletic Bilbao",3,3,2.5,3.5,3.2,NA,NA,NA,NA
"dtk5mXq2/","/soccer/france/ligue-1-2012-2013/lyon-ac-ajaccio-dtk5mXq2/",TRUE,2012-09-16,"F1","2013","france","Lyon","AC Ajaccio",2,0,1.49,4.7,8.4,NA,NA,NA,NA
"h6mFbQR6/","/soccer/italy/serie-a-2012-2013/pescara-sampdoria-h6mFbQR6/",TRUE,2012-09-16,"I1","2013","italy","US Pescara","Sampdoria",2,3,3.05,3.41,2.6,NA,NA,NA,NA
"hQDDdsh9/","/soccer/spain/primera-division-2012-2013/granada-cf-dep-la-coruna-hQDDdsh9/",TRUE,2012-09-16,"SP1","2013","spain","Granada","Deportivo La Coruna",1,1,2.2,3.5,3.75,NA,NA,NA,NA
"ju6MeexM/","/soccer/france/ligue-1-2012-2013/nancy-marseille-ju6MeexM/",TRUE,2012-09-16,"F1","2013","france","AS Nancy Lorraine","Marseille",0,1,4.2,3.4,2.18,NA,NA,NA,NA
"Khk70ncf/","/soccer/italy/serie-a-2012-2013/napoli-parma-Khk70ncf/",TRUE,2012-09-16,"I1","2013","italy","Napoli","Parma",3,1,1.64,4.05,7.2,NA,NA,NA,NA
"lYtOd4dJ/","/soccer/italy/serie-a-2012-2013/siena-udinese-lYtOd4dJ/",TRUE,2012-09-16,"I1","2013","italy","Siena","Udinese",2,2,2.52,3.25,3.3,NA,NA,NA,NA
"MH9W6lKQ/","/soccer/italy/serie-a-2012-2013/fiorentina-catania-MH9W6lKQ/",TRUE,2012-09-16,"I1","2013","italy","Fiorentina","Catania",2,0,1.91,3.62,5.3,NA,NA,NA,NA
"OQeb28Ss/","/soccer/italy/serie-a-2012-2013/genoa-juventus-OQeb28Ss/",TRUE,2012-09-16,"I1","2013","italy","Genoa","Juventus",1,3,7.22,4.2,1.6,NA,NA,NA,NA
"reWMZJpd/","/soccer/spain/primera-division-2012-2013/osasuna-mallorca-reWMZJpd/",TRUE,2012-09-16,"SP1","2013","spain","Osasuna","Mallorca",1,1,2.44,3.35,3.4,NA,NA,NA,NA
"rNG3aLGk/","/soccer/germany/bundesliga-2012-2013/eintracht-frankfurt-hamburger-rNG3aLGk/",TRUE,2012-09-16,"D1","2013","germany","Eintracht Frankfurt","Hamburg SV",3,2,1.85,4.33,4.7,NA,NA,NA,NA
"SteT7U4K/","/soccer/italy/serie-a-2012-2013/chievo-lazio-SteT7U4K/",TRUE,2012-09-16,"I1","2013","italy","Chievo Verona","Lazio",1,3,2.9,3.27,2.86,NA,NA,NA,NA
"WKSIz0Vk/","/soccer/spain/primera-division-2012-2013/real-sociedad-zaragoza-WKSIz0Vk/",TRUE,2012-09-16,"SP1","2013","spain","Real Sociedad","Real Zaragoza",2,0,1.81,3.85,5.3,NA,NA,NA,NA
"YmRT5NwM/","/soccer/germany/bundesliga-2012-2013/freiburg-hoffenheim-YmRT5NwM/",TRUE,2012-09-16,"D1","2013","germany","SC Freiburg","TSG Hoffenheim",5,3,2.25,3.65,3.45,NA,NA,NA,NA
"rcBtflWA/","/soccer/spain/primera-division-2012-2013/valladolid-betis-rcBtflWA/",TRUE,2012-09-17,"SP1","2013","spain","Real Valladolid","Real Betis",0,1,2.08,3.68,4,NA,NA,NA,NA
"SEhp397Q/","/soccer/england/premier-league-2012-2013/everton-newcastle-utd-SEhp397Q/",FALSE,2012-09-17,"E0","2013","england","Everton","Newcastle",2,2,1.57,4.75,7.4,NA,NA,NA,NA
"AqFv2Wbe/","/soccer/france/ligue-1-2012-2013/montpellier-st-etienne-AqFv2Wbe/",TRUE,2012-09-21,"F1","2013","france","Montpellier","St Etienne",1,1,2.06,3.52,4.3,NA,NA,NA,NA
"CfEeKMhF/","/soccer/germany/bundesliga-2012-2013/nurnberg-eintracht-frankfurt-CfEeKMhF/",TRUE,2012-09-21,"D1","2013","germany","Nurnberg","Eintracht Frankfurt",1,2,2.25,3.65,3.55,NA,NA,NA,NA
"0AP48YLR/","/soccer/france/ligue-1-2012-2013/lorient-nice-0AP48YLR/",TRUE,2012-09-22,"F1","2013","france","Lorient","Nice",1,1,1.8,3.8,5.6,NA,NA,NA,NA
"0zL8mhqD/","/soccer/england/premier-league-2012-2013/swansea-everton-0zL8mhqD/",FALSE,2012-09-22,"E0","2013","england","Swansea","Everton",0,3,3.4,3.35,2.44,NA,NA,NA,NA
"2JBW3hUr/","/soccer/france/ligue-1-2012-2013/sochaux-troyes-2JBW3hUr/",TRUE,2012-09-22,"F1","2013","france","Sochaux","Troyes",3,1,2.36,3.35,3.55,NA,NA,NA,NA
"4hgzDvok/","/soccer/germany/bundesliga-2012-2013/dusseldorf-freiburg-4hgzDvok/",TRUE,2012-09-22,"D1","2013","germany","Fortuna Dusseldorf","SC Freiburg",0,0,2.44,3.5,3.25,NA,NA,NA,NA
"b5iVOg68/","/soccer/france/ligue-1-2012-2013/brest-valenciennes-b5iVOg68/",TRUE,2012-09-22,"F1","2013","france","Brest","Valenciennes",2,1,3.1,3.3,2.8,NA,NA,NA,NA
"CzUnBt72/","/soccer/spain/primera-division-2012-2013/celta-vigo-getafe-CzUnBt72/",TRUE,2012-09-22,"SP1","2013","spain","Celta Vigo","Getafe",2,1,2.04,3.6,4.17,NA,NA,NA,NA
"db61ANQI/","/soccer/italy/serie-a-2012-2013/parma-fiorentina-db61ANQI/",TRUE,2012-09-22,"I1","2013","italy","Parma","Fiorentina",1,1,2.76,3.32,2.96,NA,NA,NA,NA
"EZhbAQEg/","/soccer/england/premier-league-2012-2013/southampton-aston-villa-EZhbAQEg/",FALSE,2012-09-22,"E0","2013","england","Southampton","Aston Villa",4,1,2.36,3.55,3.5,NA,NA,NA,NA
"hhbfMrO2/","/soccer/germany/bundesliga-2012-2013/wolfsburg-greuther-furth-hhbfMrO2/",TRUE,2012-09-22,"D1","2013","germany","VfL Wolfsburg","SpVgg Greuther Furth",1,1,1.97,3.7,4.42,NA,NA,NA,NA
"KKuvNXzL/","/soccer/france/ligue-1-2012-2013/toulouse-rennes-KKuvNXzL/",TRUE,2012-09-22,"F1","2013","france","Toulouse","Stade Rennes",2,2,2.2,3.33,4.12,NA,NA,NA,NA
"lY2gCqd6/","/soccer/italy/serie-a-2012-2013/juventus-chievo-lY2gCqd6/",TRUE,2012-09-22,"I1","2013","italy","Juventus","Chievo Verona",2,0,1.4,5.4,12,NA,NA,NA,NA
"MT3VDKVr/","/soccer/germany/bundesliga-2012-2013/hamburger-dortmund-MT3VDKVr/",TRUE,2012-09-22,"D1","2013","germany","Hamburg SV","Borussia Dortmund",3,2,7.2,4.76,1.57,NA,NA,NA,NA
"nmi684q6/","/soccer/england/premier-league-2012-2013/west-brom-reading-nmi684q6/",FALSE,2012-09-22,"E0","2013","england","West Brom","Reading",1,0,1.7,4.2,6.1,NA,NA,NA,NA
"nP8JH8MJ/","/soccer/england/premier-league-2012-2013/chelsea-stoke-city-nP8JH8MJ/",FALSE,2012-09-22,"E0","2013","england","Chelsea","Stoke City",1,0,1.42,5.09,10.01,NA,NA,NA,NA
"p8C3I0NR/","/soccer/germany/bundesliga-2012-2013/mainz-augsburg-p8C3I0NR/",TRUE,2012-09-22,"D1","2013","germany","Mainz","FC Augsburg",2,0,2,3.6,4.4,NA,NA,NA,NA
"pY997ObC/","/soccer/england/premier-league-2012-2013/west-ham-sunderland-pY997ObC/",FALSE,2012-09-22,"E0","2013","england","West Ham","Sunderland",1,1,2.08,3.55,4.16,NA,NA,NA,NA
"Qo68buWe/","/soccer/germany/bundesliga-2012-2013/schalke-bayern-munich-Qo68buWe/",TRUE,2012-09-22,"D1","2013","germany","Schalke 04","Bayern Munich",0,2,3.46,3.75,2.25,NA,NA,NA,NA
"QwYjA0M8/","/soccer/spain/primera-division-2012-2013/barcelona-granada-cf-QwYjA0M8/",TRUE,2012-09-22,"SP1","2013","spain","Barcelona","Granada",2,0,1.12,11.69,36,NA,NA,NA,NA
"SdaE6rEI/","/soccer/england/premier-league-2012-2013/wigan-fulham-SdaE6rEI/",FALSE,2012-09-22,"E0","2013","england","Wigan","Fulham",1,2,2.45,3.45,3.25,NA,NA,NA,NA
"vsGPguxS/","/soccer/spain/primera-division-2012-2013/betis-espanyol-vsGPguxS/",TRUE,2012-09-22,"SP1","2013","spain","Real Betis","Espanyol",1,0,1.85,3.9,5.09,NA,NA,NA,NA
"Wb3m0AT7/","/soccer/france/ligue-1-2012-2013/bastia-paris-sg-Wb3m0AT7/",TRUE,2012-09-22,"F1","2013","france","Bastia","Paris Saint-Germain",0,4,5.9,3.75,1.8,NA,NA,NA,NA
"Wvi0mwFe/","/soccer/spain/primera-division-2012-2013/zaragoza-osasuna-Wvi0mwFe/",TRUE,2012-09-22,"SP1","2013","spain","Real Zaragoza","Osasuna",3,1,2.42,3.35,3.45,NA,NA,NA,NA
"xdjZNDLE/","/soccer/france/ligue-1-2012-2013/reims-nancy-xdjZNDLE/",TRUE,2012-09-22,"F1","2013","france","Stade de Reims","AS Nancy Lorraine",2,0,2.4,3.27,3.6,NA,NA,NA,NA
"0SCNGSyQ/","/soccer/england/premier-league-2012-2013/liverpool-manchester-united-0SCNGSyQ/",FALSE,2012-09-23,"E0","2013","england","Liverpool","Manchester Utd",1,2,2.78,3.3,2.98,NA,NA,NA,NA
"2y7cB3BC/","/soccer/italy/serie-a-2012-2013/lazio-genoa-2y7cB3BC/",TRUE,2012-09-23,"I1","2013","italy","Lazio","Genoa",0,1,1.7,4.05,6.1,NA,NA,NA,NA
"69DlDPt0/","/soccer/italy/serie-a-2012-2013/inter-siena-69DlDPt0/",TRUE,2012-09-23,"I1","2013","italy","Internazionale","Siena",0,2,1.57,4.24,8.6,NA,NA,NA,NA
"AVk4ncU1/","/soccer/spain/primera-division-2012-2013/mallorca-valencia-AVk4ncU1/",TRUE,2012-09-23,"SP1","2013","spain","Mallorca","Valencia",2,0,3,3.51,2.58,NA,NA,NA,NA
"dbbgB6am/","/soccer/england/premier-league-2012-2013/newcastle-utd-norwich-dbbgB6am/",FALSE,2012-09-23,"E0","2013","england","Newcastle","Norwich City",1,0,1.78,4.09,5.24,NA,NA,NA,NA
"dtBz3Cqk/","/soccer/france/ligue-1-2012-2013/bordeaux-ac-ajaccio-dtBz3Cqk/",TRUE,2012-09-23,"F1","2013","france","Bordeaux","AC Ajaccio",2,2,1.55,4.2,8.8,NA,NA,NA,NA
"EBY9K7lQ/","/soccer/italy/serie-a-2012-2013/atalanta-palermo-EBY9K7lQ/",TRUE,2012-09-23,"I1","2013","italy","Atalanta","Palermo",1,0,1.85,3.81,5.3,NA,NA,NA,NA
"h84q1jE1/","/soccer/france/ligue-1-2012-2013/marseille-evian-tg-h84q1jE1/",TRUE,2012-09-23,"F1","2013","france","Marseille","Evian Thonon Gaillard",1,0,1.47,4.9,9.66,NA,NA,NA,NA
"hQi29pUa/","/soccer/england/premier-league-2012-2013/tottenham-qpr-hQi29pUa/",FALSE,2012-09-23,"E0","2013","england","Tottenham","QPR",2,1,1.53,4.55,7.6,NA,NA,NA,NA
"I7akCnps/","/soccer/england/premier-league-2012-2013/manchester-city-arsenal-I7akCnps/",FALSE,2012-09-23,"E0","2013","england","Manchester City","Arsenal",1,1,1.8,4.09,5,NA,NA,NA,NA
"joDaJt8L/","/soccer/germany/bundesliga-2012-2013/hoffenheim-hannover-joDaJt8L/",TRUE,2012-09-23,"D1","2013","germany","TSG Hoffenheim","Hannover 96",3,1,2.84,3.8,2.64,NA,NA,NA,NA
"KhBxGRds/","/soccer/italy/serie-a-2012-2013/bologna-pescara-KhBxGRds/",TRUE,2012-09-23,"I1","2013","italy","Bologna","US Pescara",1,1,1.88,3.69,5.09,NA,NA,NA,NA
"OEidlJak/","/soccer/spain/primera-division-2012-2013/levante-real-sociedad-OEidlJak/",TRUE,2012-09-23,"SP1","2013","spain","Levante","Real Sociedad",2,1,2.6,3.35,3.1,NA,NA,NA,NA
"pOhhkapq/","/soccer/spain/primera-division-2012-2013/ath-bilbao-malaga-pOhhkapq/",TRUE,2012-09-23,"SP1","2013","spain","Athletic Bilbao","Malaga",0,0,2.67,3.5,3,NA,NA,NA,NA
"QwCLfLML/","/soccer/spain/primera-division-2012-2013/atl-madrid-valladolid-QwCLfLML/",TRUE,2012-09-23,"SP1","2013","spain","Atletico Madrid","Real Valladolid",2,1,1.43,5.09,9.5,NA,NA,NA,NA
"SIEpE5Rg/","/soccer/italy/serie-a-2012-2013/catania-napoli-SIEpE5Rg/",TRUE,2012-09-23,"I1","2013","italy","Catania","Napoli",0,0,3.5,3.55,2.31,NA,NA,NA,NA
"vkACcao2/","/soccer/germany/bundesliga-2012-2013/bayer-leverkusen-b-monchengladbach-vkACcao2/",TRUE,2012-09-23,"D1","2013","germany","Bayer Leverkusen","Borussia Monchengladbach",1,1,2.27,3.55,3.85,NA,NA,NA,NA
"WrcbL2w9/","/soccer/germany/bundesliga-2012-2013/werder-bremen-vfb-stuttgart-WrcbL2w9/",TRUE,2012-09-23,"D1","2013","germany","Werder Bremen","VfB Stuttgart",2,2,2.11,3.75,3.8,NA,NA,NA,NA
"YNqrMijR/","/soccer/france/ligue-1-2012-2013/lille-lyon-YNqrMijR/",TRUE,2012-09-23,"F1","2013","france","Lille","Lyon",1,1,2.2,3.5,3.86,NA,NA,NA,NA
"YNTUheeo/","/soccer/italy/serie-a-2012-2013/sampdoria-torino-YNTUheeo/",TRUE,2012-09-23,"I1","2013","italy","Sampdoria","Torino",1,1,2.4,3.23,3.65,NA,NA,NA,NA
"zqM31mao/","/soccer/italy/serie-a-2012-2013/udinese-ac-milan-zqM31mao/",TRUE,2012-09-23,"I1","2013","italy","Udinese","AC Milan",2,1,3.36,3.35,2.48,NA,NA,NA,NA
"biWb8viL/","/soccer/spain/primera-division-2012-2013/rayo-vallecano-real-madrid-biWb8viL/",TRUE,2012-09-24,"SP1","2013","spain","Rayo Vallecano","Real Madrid",0,2,13,6.5,1.32,NA,NA,NA,NA
"K0Xf9KyF/","/soccer/spain/primera-division-2012-2013/dep-la-coruna-sevilla-K0Xf9KyF/",TRUE,2012-09-24,"SP1","2013","spain","Deportivo La Coruna","Sevilla",0,2,2.88,3.6,2.62,NA,NA,NA,NA
"CIdrBIF1/","/soccer/germany/bundesliga-2012-2013/schalke-mainz-CIdrBIF1/",TRUE,2012-09-25,"D1","2013","germany","Schalke 04","Mainz",3,0,1.58,4.4,7.4,NA,NA,NA,NA
"ID8EDBy0/","/soccer/germany/bundesliga-2012-2013/eintracht-frankfurt-dortmund-ID8EDBy0/",TRUE,2012-09-25,"D1","2013","germany","Eintracht Frankfurt","Borussia Dortmund",3,3,5.2,4,1.81,NA,NA,NA,NA
"MaOFboq4/","/soccer/italy/serie-a-2012-2013/fiorentina-juventus-MaOFboq4/",TRUE,2012-09-25,"I1","2013","italy","Fiorentina","Juventus",0,0,4.15,3.3,2.2,NA,NA,NA,NA
"rqhvCb0e/","/soccer/germany/bundesliga-2012-2013/bayern-munich-wolfsburg-rqhvCb0e/",TRUE,2012-09-25,"D1","2013","germany","Bayern Munich","VfL Wolfsburg",3,0,1.2,8.6,19.3,NA,NA,NA,NA
"vN9AEiMg/","/soccer/germany/bundesliga-2012-2013/greuther-furth-dusseldorf-vN9AEiMg/",TRUE,2012-09-25,"D1","2013","germany","SpVgg Greuther Furth","Fortuna Dusseldorf",0,2,2.2,3.4,3.94,NA,NA,NA,NA
"4ODKc5bA/","/soccer/italy/serie-a-2012-2013/genoa-parma-4ODKc5bA/",TRUE,2012-09-26,"I1","2013","italy","Genoa","Parma",1,1,2.54,3.25,3.45,NA,NA,NA,NA
"8AapEQri/","/soccer/italy/serie-a-2012-2013/torino-udinese-8AapEQri/",TRUE,2012-09-26,"I1","2013","italy","Torino","Udinese",0,0,2.25,3.37,3.82,NA,NA,NA,NA
"8dKBaRTc/","/soccer/italy/serie-a-2012-2013/chievo-inter-8dKBaRTc/",TRUE,2012-09-26,"I1","2013","italy","Chievo Verona","Internazionale",0,2,3.85,3.3,2.38,NA,NA,NA,NA
"ClHSeqTM/","/soccer/italy/serie-a-2012-2013/napoli-lazio-ClHSeqTM/",TRUE,2012-09-26,"I1","2013","italy","Napoli","Lazio",3,0,2.04,3.56,4.33,NA,NA,NA,NA
"dMhajNjp/","/soccer/italy/serie-a-2012-2013/as-roma-sampdoria-dMhajNjp/",TRUE,2012-09-26,"I1","2013","italy","AS Roma","Sampdoria",1,1,1.58,4.7,6.7,NA,NA,NA,NA
"EZK707Ei/","/soccer/italy/serie-a-2012-2013/catania-atalanta-EZK707Ei/",TRUE,2012-09-26,"I1","2013","italy","Catania","Atalanta",2,1,2.22,3.25,4.09,NA,NA,NA,NA
"G6Z4br6a/","/soccer/spain/primera-division-2012-2013/betis-atl-madrid-G6Z4br6a/",TRUE,2012-09-26,"SP1","2013","spain","Real Betis","Atletico Madrid",2,4,3.7,3.65,2.18,NA,NA,NA,NA
